algo,func,dim,n_runs,success_rate,mean_evals,mean_evals_success,target
SA,sphere,2,100,0.040,900.0,900.0,1.0e-04
GA,sphere,2,100,0.980,900.0,900.0,1.0e-04
DE,sphere,2,100,1.000,900.0,900.0,1.0e-04
PSO,sphere,2,100,1.000,352.2,352.2,1.0e-04
SA,sphere,5,100,0.000,900.0,0.0,1.0e-04
GA,sphere,5,100,0.010,900.0,900.0,1.0e-04
DE,sphere,5,100,0.050,900.0,900.0,1.0e-04
PSO,sphere,5,100,1.000,629.8,629.8,1.0e-04
SA,sphere,10,100,0.000,900.0,0.0,1.0e-04
GA,sphere,10,100,0.000,900.0,0.0,1.0e-04
DE,sphere,10,100,0.000,900.0,0.0,1.0e-04
PSO,sphere,10,100,0.450,889.6,876.9,1.0e-04
SA,rosenbrock,2,100,0.240,900.0,900.0,1.0e-02
GA,rosenbrock,2,100,0.450,900.0,900.0,1.0e-02
DE,rosenbrock,2,100,0.930,900.0,900.0,1.0e-02
PSO,rosenbrock,2,100,0.920,464.2,426.3,1.0e-02
SA,rosenbrock,5,100,0.000,900.0,0.0,1.0e-02
GA,rosenbrock,5,100,0.000,900.0,0.0,1.0e-02
DE,rosenbrock,5,100,0.000,900.0,0.0,1.0e-02
PSO,rosenbrock,5,100,0.000,900.0,0.0,1.0e-02
SA,rosenbrock,10,100,0.000,900.0,0.0,1.0e-02
GA,rosenbrock,10,100,0.000,900.0,0.0,1.0e-02
DE,rosenbrock,10,100,0.000,900.0,0.0,1.0e-02
PSO,rosenbrock,10,100,0.000,900.0,0.0,1.0e-02
SA,rastrigin,2,100,0.110,900.0,900.0,5.0e-02
GA,rastrigin,2,100,0.640,900.0,900.0,5.0e-02
DE,rastrigin,2,100,0.760,900.0,900.0,5.0e-02
PSO,rastrigin,2,100,0.830,562.0,492.8,5.0e-02
SA,rastrigin,5,100,0.000,900.0,0.0,5.0e-02
GA,rastrigin,5,100,0.000,900.0,0.0,5.0e-02
DE,rastrigin,5,100,0.000,900.0,0.0,5.0e-02
PSO,rastrigin,5,100,0.000,900.0,0.0,5.0e-02
SA,rastrigin,10,100,0.000,900.0,0.0,5.0e-02
GA,rastrigin,10,100,0.000,900.0,0.0,5.0e-02
DE,rastrigin,10,100,0.000,900.0,0.0,5.0e-02
PSO,rastrigin,10,100,0.000,900.0,0.0,5.0e-02
SA,griewank,2,100,1.000,900.0,900.0,5.0e-02
GA,griewank,2,100,1.000,900.0,900.0,5.0e-02
DE,griewank,2,100,1.000,900.0,900.0,5.0e-02
PSO,griewank,2,100,1.000,62.0,62.0,5.0e-02
SA,griewank,5,100,0.440,900.0,900.0,5.0e-02
GA,griewank,5,100,0.980,900.0,900.0,5.0e-02
DE,griewank,5,100,0.040,900.0,900.0,5.0e-02
PSO,griewank,5,100,0.880,325.8,247.5,5.0e-02
SA,griewank,10,100,0.160,900.0,900.0,5.0e-02
GA,griewank,10,100,0.980,900.0,900.0,5.0e-02
DE,griewank,10,100,0.000,900.0,0.0,5.0e-02
PSO,griewank,10,100,0.910,461.2,417.8,5.0e-02
SA,ackley,2,100,0.940,900.0,900.0,5.0e-02
GA,ackley,2,100,0.980,900.0,900.0,5.0e-02
DE,ackley,2,100,1.000,900.0,900.0,5.0e-02
PSO,ackley,2,100,1.000,331.0,331.0,5.0e-02
SA,ackley,5,100,0.040,900.0,900.0,5.0e-02
GA,ackley,5,100,0.080,900.0,900.0,5.0e-02
DE,ackley,5,100,0.210,900.0,900.0,5.0e-02
PSO,ackley,5,100,1.000,582.0,582.0,5.0e-02
SA,ackley,10,100,0.000,900.0,0.0,5.0e-02
GA,ackley,10,100,0.000,900.0,0.0,5.0e-02
DE,ackley,10,100,0.000,900.0,0.0,5.0e-02
PSO,ackley,10,100,0.800,821.0,801.2,5.0e-02
