func,algo,success,n,rate,best_f_mean,mean_evals,target
rastrigin,HYBRID,99,100,0.990,0.009975,950.2,0.01
rastrigin,SA,0,100,0.000,19.93,1000.0,0.01
rastrigin,GA,0,100,0.000,3.691,1000.0,0.01
rastrigin,DE,0,100,0.000,10.68,1000.0,0.01
rastrigin,PSO,0,100,0.000,4.205,1000.0,0.01
griewank,HYBRID,70,100,0.700,0.008451,829.7,0.01
griewank,SA,4,100,0.040,0.07875,1000.0,0.01
griewank,GA,77,100,0.770,0.006672,1000.0,0.01
griewank,DE,0,100,0.000,0.1089,1000.0,0.01
griewank,PSO,0,100,0.000,0.04892,372.6,0.01
ackley,HYBRID,100,100,1.000,1.54e-06,920.9,0.01
ackley,SA,0,100,0.000,1.317,1000.0,0.01
ackley,GA,0,100,0.000,0.1087,1000.0,0.01
ackley,DE,0,100,0.000,0.05166,1000.0,0.01
ackley,PSO,0,100,0.000,0.0384,592.0,0.01
