rep,nll,hat0,hat1,hat2,hat3,sd0,sd1,sd2,sd3,hit0,hit1,hit2,hit3,joint,rhat,acc,ok0,ok1,ok2,ok3,max_ratio
0,32.1572,0.982252,0.0780375,0.612717,0.0406835,0.01201,0.00141587,0.00804852,0.000542628,1,1,1,1,1,NA,0.208,1,1,1,1,1.580
1,33.4985,1.0029,0.0801851,0.596767,0.0398663,0.0103131,0.00123195,0.00648684,0.000461996,1,1,1,1,1,NA,0.215,1,1,1,1,0.498
2,19.7826,0.986096,0.0784643,0.607095,0.0407966,0.0111461,0.00121714,0.00722415,0.000469357,1,1,1,1,1,NA,0.213,1,1,1,1,1.697
3,18.2257,1.01208,0.0809796,0.594321,0.0395362,0.00959416,0.00107446,0.00578683,0.000412404,1,1,1,1,1,NA,0.214,1,1,1,1,1.259
4,21.9041,0.994351,0.0801341,0.603945,0.040093,0.01159,0.00138426,0.00755589,0.000478692,1,1,1,1,1,NA,0.211,1,1,1,1,0.522
5,23.0052,1.01375,0.0823551,0.592223,0.0391413,0.0106695,0.00125461,0.00658355,0.000452115,1,0,1,0,0,NA,0.139,1,1,1,1,1.899
6,35.9814,1.0086,0.0805945,0.597457,0.0394263,0.00968101,0.00118427,0.00632175,0.000423374,1,1,1,1,1,NA,0.214,1,1,1,1,1.355
7,24.2308,1.00843,0.0813218,0.592112,0.0397198,0.00803809,0.0009694,0.00481699,0.000357039,1,0,0,1,0,NA,0.139,1,1,1,1,1.638
8,17.9879,0.985664,0.0793074,0.609787,0.0401037,0.00919131,0.00108857,0.00614383,0.000407951,1,1,1,1,1,NA,0.208,1,1,1,1,1.593
9,26.7631,1.00376,0.0803096,0.596134,0.0398521,0.0091913,0.00108756,0.0057712,0.000396244,1,1,1,1,1,NA,0.209,1,1,1,1,0.670
10,17.7151,1.01338,0.0815652,0.592042,0.0394405,0.00915571,0.00111234,0.00560714,0.000395267,1,1,1,1,1,NA,0.220,1,1,1,1,1.462
11,24.371,1.00008,0.0810725,0.601142,0.0396935,0.0122295,0.00142304,0.00777014,0.000505332,1,1,1,1,1,NA,0.216,1,1,1,1,0.754
12,21.3967,0.990785,0.0799455,0.606572,0.0400632,0.0104242,0.00125904,0.00680796,0.000452115,1,1,1,1,1,NA,0.210,1,1,1,1,0.965
13,23.7673,1.01572,0.0813423,0.589545,0.0395662,0.00811218,0.000937953,0.00492598,0.000368953,1,1,1,1,1,NA,0.213,1,1,0,1,2.122
14,33.3138,0.991449,0.0801418,0.603785,0.0401871,0.0101959,0.00125077,0.00666267,0.000444231,1,1,1,1,1,NA,0.209,1,1,1,1,0.839
15,17.9311,0.993781,0.0786743,0.60478,0.0403161,0.00947609,0.00111774,0.00613456,0.000408007,1,1,1,1,1,NA,0.222,1,1,1,1,1.186
16,27.6377,0.995466,0.0793724,0.602011,0.0403612,0.00917056,0.00101654,0.00577327,0.000406886,1,1,1,1,1,NA,0.212,1,1,1,1,0.888
17,20.7223,1.01628,0.0820844,0.590069,0.0392753,0.0102,0.00124522,0.00633343,0.000427535,1,1,1,1,1,NA,0.204,1,1,1,1,1.695
18,31.0539,1.00609,0.0804706,0.598446,0.0399415,0.0103281,0.001208,0.00638753,0.000445344,1,1,1,1,1,NA,0.206,1,1,1,1,0.590
19,26.6254,1.00525,0.07944,0.599004,0.0399727,0.00808322,0.000948838,0.00521524,0.000356269,1,1,1,1,1,NA,0.199,1,1,1,1,0.650
20,21.3582,1.00793,0.081737,0.594312,0.0395705,0.0102259,0.00119617,0.00655678,0.000409473,1,1,1,1,1,NA,0.204,1,1,1,1,1.452
21,24.3175,0.99486,0.080144,0.604599,0.0403614,0.0106519,0.00122726,0.0068489,0.000462779,1,1,1,1,1,NA,0.221,1,1,1,1,0.781
22,29.9552,0.995184,0.0796413,0.603939,0.0401601,0.0107055,0.00124968,0.00686813,0.000455392,1,1,1,1,1,NA,0.206,1,1,1,1,0.573
23,28.1293,1.007,0.0799711,0.595362,0.0399063,0.00932637,0.00116583,0.00595407,0.000411909,1,1,1,1,1,NA,0.200,1,1,1,1,0.779
24,21.1912,1.00064,0.0804833,0.59845,0.0400969,0.0101725,0.001239,0.00643822,0.000419307,1,1,1,1,1,NA,0.207,1,1,1,1,0.390
25,31.4589,0.99712,0.0804053,0.597454,0.0402099,0.0107322,0.00125071,0.00684735,0.00046161,1,1,1,1,1,NA,0.215,1,1,1,1,0.455
26,22.5211,0.988934,0.0779885,0.60606,0.0410534,0.0106128,0.00125626,0.00698717,0.000491052,1,1,1,0,0,NA,0.211,1,1,1,0,2.145
27,17.727,0.98886,0.0786513,0.610302,0.0404983,0.00934892,0.00109255,0.00617947,0.000408764,1,1,1,1,1,NA,0.210,1,1,1,1,1.667
28,21.6337,0.992664,0.0787241,0.6031,0.0406563,0.00916881,0.00105811,0.00595419,0.00038963,1,1,1,1,1,NA,0.210,1,1,1,1,1.685
29,25.5321,0.992993,0.0799093,0.607403,0.0401209,0.0096361,0.00110578,0.0061869,0.000405606,1,1,1,1,1,NA,0.211,1,1,1,1,1.197
30,24.0209,1.01952,0.0812267,0.586203,0.0394549,0.00977229,0.00116152,0.00596885,0.000428799,0,1,0,1,0,NA,0.198,1,1,0,1,2.312
31,17.2861,1.00387,0.0804979,0.599666,0.0399082,0.0104078,0.00126013,0.00661021,0.000453951,1,1,1,1,1,NA,0.211,1,1,1,1,0.395
32,27.2195,0.99608,0.0791319,0.599919,0.0403143,0.00848186,0.000961237,0.00546282,0.000389166,1,1,1,1,1,NA,0.216,1,1,1,1,0.903
33,25.4247,1.01521,0.0813195,0.591012,0.039746,0.0127195,0.00145869,0.00786247,0.000509246,1,1,1,1,1,NA,0.216,1,1,1,1,1.196
34,26.5713,0.995024,0.0800934,0.602738,0.0399045,0.00847038,0.00101979,0.00567143,0.000371459,1,1,1,1,1,NA,0.209,1,1,1,1,0.587
35,21.6792,0.998151,0.0801243,0.599258,0.0398132,0.00949233,0.00106751,0.00569505,0.000405852,1,1,1,1,1,NA,0.212,1,1,1,1,0.460
36,19.1699,1.0136,0.0827736,0.589873,0.0395046,0.00758737,0.000913564,0.00459568,0.000329057,1,0,0,1,0,NA,0.205,1,0,0,1,3.036
37,21.2692,0.995156,0.0798947,0.598855,0.0403099,0.00902753,0.00103345,0.00575105,0.000400593,1,1,1,1,1,NA,0.213,1,1,1,1,0.774
38,29.1872,0.995515,0.0792378,0.603535,0.040032,0.00952204,0.00112544,0.00631372,0.000400657,1,1,1,1,1,NA,0.215,1,1,1,1,0.677
39,16.9605,0.987389,0.0792171,0.610487,0.0404707,0.00958668,0.00109472,0.00639636,0.000404826,1,1,0,1,0,NA,0.214,1,1,1,1,1.640
