t,prey_obs,pred_obs,prey_clean,pred_clean
0,11.422557,2.604536,12,4
0.75,19.943669,4.7467777,20.030198,4.0824522
1.5,32.363151,5.0065144,32.031092,5.6376757
2.25,41.031517,11.015179,42.209465,11.212612
3,31.388638,23.34079,32.28379,23.316241
3.75,13.509843,28.66045,13.323241,28.798086
4.5,5.694548,23.643783,5.6650832,23.864059
5.25,4.561074,18.084598,3.4978321,17.337774
6,2.8490944,12.395097,3.080698,12.1694
6.75,3.166429,7.9831523,3.52743,8.5516937
7.5,3.9130371,6.5974005,4.827617,6.1655249
8.25,6.5477627,4.7044742,7.4060817,4.7040569
9,11.763169,4.0805943,12.121714,3.9930298
9.75,19.240018,3.3555113,20.231148,4.0948999
10.5,31.568782,4.9400157,32.291917,5.69538
11.25,42.269598,10.577053,42.269433,11.395326
12,31.929897,23.215989,31.867527,23.553697
12.75,13.428372,28.945885,13.068251,28.767263
13.5,4.7421786,25.000777,5.5896327,23.731703
14.25,2.7274012,17.568839,3.4780514,17.219741
15,3.3551051,11.787066,3.0820642,12.083637
15.75,3.2081622,8.3785167,3.5441198,8.4937162
16.5,4.6942181,5.8409627,4.8641533,6.1284873
17.25,8.2561584,4.7808124,7.475015,4.6830032
18,10.554453,4.2617557,12.244763,3.9863613
