t,prey_obs,pred_obs,prey_clean,pred_clean
0,10.589747,4.679934,12,4
0.75,21.023108,3.9677266,20.030198,4.0824522
1.5,32.592708,5.408628,32.031092,5.6376757
2.25,42.052545,12.17331,42.209465,11.212612
3,31.814165,21.977627,32.28379,23.316241
3.75,12.082669,29.215949,13.323241,28.798086
4.5,5.7733739,24.266994,5.6650832,23.864059
5.25,2.3494344,18.693773,3.4978321,17.337774
6,1.7140026,11.755972,3.080698,12.1694
6.75,3.1250537,8.140112,3.52743,8.5516937
7.5,5.2385694,5.6884847,4.827617,6.1655249
8.25,5.97492,5.4848171,7.4060817,4.7040569
9,12.500039,4.7479781,12.121714,3.9930298
9.75,20.573725,3.4311661,20.231148,4.0948999
10.5,32.408217,6.1252382,32.291917,5.69538
11.25,40.320907,12.368931,42.269433,11.395326
12,33.612264,23.17938,31.867527,23.553697
12.75,13.323622,28.262172,13.068251,28.767263
13.5,6.0530256,24.477735,5.5896327,23.731703
14.25,4.6200458,18.13617,3.4780514,17.219741
15,3.2807671,12.223517,3.0820642,12.083637
15.75,3.5902745,9.3922485,3.5441198,8.4937162
16.5,4.9981479,5.9315385,4.8641533,6.1284873
17.25,7.4034719,4.0189957,7.475015,4.6830032
18,12.701487,5.0635622,12.244763,3.9863613
